Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
"Marshall Is",OLEANDER,"NEW YORK","2023-11-03 00:15:00",USNYC,"NEW YORK",9827334,Cargo,"2023-11-03 02:51:18",40.66864,-74.14223
USA,"STEPHEN REINAUER",,"1900-01-01 00:00:00","XX XXX>US^0HV5","NEW YORK",7046170,Tug,"2023-11-03 02:49:32",40.66874,-74.01681
USA,"CG PENOBSCOT BAY",BAYONNE,-,"MOT BAYONNE","NEW YORK",8635186,Tug,"2023-11-03 02:47:10",40.67204,-74.08804
USA,"KRISTIN POLING",,"1900-01-01 00:00:00",US^11XV>0Q86,"NEW YORK",9378759,Tug,"2023-11-03 02:50:37",40.65361,-74.08523
"Cayman Is",ARRIVA,CHELSEA,"2023-10-29 19:00:00","CHELSEA PIERS","NEW YORK",8988026,"Pleasure Craft","2023-11-03 02:49:27",40.74748,-74.01086
USA,"USNS 1ST LT.BALDOMERO LOPEZ",,"1900-01-01 00:00:00",NUNYA,"EARLE NAVAL STATION",8302442,"Special Craft","2023-11-03 02:49:27",40.45477,-74.05381
USA,MAKO,,"2023-11-02 10:55:00",US^0QAZ>0HVB,"PERTH AMBOY",9579896,Tug,"2023-11-03 02:49:52",40.52189,-74.24988
USA,"GRANDE CARIBE","BLOUNT BOATS","2019-10-26 12:00:00","WARREN RI","NEW YORK",8978631,Passenger,"2023-08-18 19:44:23",40.67065,-74.08498
USA,"KIMBERLY POLING",,"1900-01-01 00:00:00",US^0YY9>0HVC,"NEW YORK",8964721,Tug,"2023-10-31 16:36:19",40.64215,-74.1185
USA,"GENESIS EAGLE",,"1900-01-01 00:00:00",US^0XQN>0MCS,"NEW YORK",9117260,Tug,"2023-11-03 02:47:17",40.59934,-74.02248
USA,ZEUS,BAYBAY,"2023-10-27 08:30:00","BAYWAY NJ","NEW YORK",9506071,Tug,"2023-11-03 02:50:06",40.64509,-74.11131
USA,MAGOTHY,,"1900-01-01 00:00:00",US^0Y22>0LGQ,,9544205,Tug,"2023-11-03 02:51:28",41.0612,-73.88068
USA,"CURTIS REINAUER","NEW YORK","2023-10-30 06:00:00","US NYC","NEW YORK",9653240,Tug,"2023-11-03 02:51:08",40.62634,-74.20445
USA,"SEASTREAK NEW YORK","ATLANTIC HIGHLANDS","2023-11-03 02:46:00",,,8967620,Passenger,"2023-11-03 02:52:00",40.42025,-74.03321
Mexico,"HOS BROWNING",BAYONNE,"2023-11-01 14:00:00","BAYONE DRYDOCK","NEW YORK",9587398,"Special Craft","2023-11-03 02:51:11",40.66062,-74.07082
USA,"DACE REINAUER","NEW YORK","2023-11-03 08:30:00",NYC,,8993368,Tug,"2023-11-03 02:51:30",41.2789,-73.95488
USA,"DEAN REINAUER","NEW YORK","2023-11-01 14:00:00","US NYC","NEW YORK",9653264,Tug,"2023-11-03 02:50:28",40.65077,-74.09136
USA,"EVELYN CUTLER",,"1900-01-01 00:00:00","XX XXX>US^0RRD","NEW YORK",7319058,Tug,"2023-11-03 02:51:59",40.64307,-74.116
USA,"B. FRANKLIN REINAUER","NEW HAVEN","2023-11-03 03:30:00","US NYC>US HVN",,9653238,Tug,"2023-11-03 02:51:40",40.99199,-73.4323
USA,"NANTUCKET EXPRESS","ATLANTIC HIGHLANDS","1900-01-01 00:00:00",,"ATLANTIC HIGHLANDS",8982010,Passenger,"2023-11-01 00:38:29",40.41927,-74.03416
USA,"SEASTREAK NEW JERSEY",BELFORD,"1900-01-01 00:00:00",,BELFORD,8968272,"High Speed Craft","2023-11-03 02:50:02",40.43339,-74.07895
USA,"EMPIRE STATE","NEW YORK","2023-09-18 12:00:00","NEW YORK, NEW YORK",,9910313,"Special Craft","2023-10-18 21:15:48",40.80505,-73.79621
"Marshall Is","FRONT THOR","NEW YORK","2023-10-29 20:00:00","NEW YORK","AMBROSE ANCH",9399480,Tanker,"2023-11-03 02:46:35",40.49055,-73.64797
USA,"PATRICE MCALLISTER","NEW YORK","2023-10-29 10:00:00","NEW YORK NY","NEW YORK",9215799,Tug,"2023-10-30 02:00:36",40.64042,-74.16331
USA,"SAINT EMILION",,"1900-01-01 00:00:00",US^0Y2X>0Y0U,"NEW YORK",8741832,Tug,"2023-11-03 02:52:07",40.64959,-74.11076
Panama,"NACC NEWYORKER",,"2023-11-01 06:00:00","NY USA","PORT MORRIS",9499723,Cargo,"2023-11-03 02:48:12",40.80523,-73.89822
USA,"DORIS MORAN","NEW YORK","2023-04-28 20:30:00",USNYC,"NEW YORK",8121800,Tug,"2023-11-03 02:49:52",40.64098,-74.12981
USA,"DREDGE NEW YORK",,"1900-01-01 00:00:00",,"NEW YORK",8639065,Cargo,"2023-11-03 02:41:10",40.63889,-74.15146
USA,"TREASURE COAST",,"2023-09-03 12:00:00","NY,NY","NEW YORK",9448267,Tug,"2023-11-03 02:51:03",40.66302,-74.00108
USA,"WYE RIVER","NEW YORK","2023-11-01 04:00:00","NEW YORK HARBOR","NEW YORK",9512379,Tug,"2023-11-03 02:48:40",40.67063,-74.08471
USA,"MEAGAN ANN","NEW YORK","2023-10-11 06:00:00","PORT NEWARK NJ","NEW YORK",8976281,Tug,"2023-11-03 02:51:24",40.68193,-74.14203
USA,"CHRISTINE MCALLISTER","NEW YORK","2023-08-08 16:00:00","NEW YORK HARBOR","NEW YORK",7390985,Tug,"2023-11-03 02:49:59",40.64086,-74.16415
USA,FB343,BROOKLYN,"1900-01-01 00:00:00",,"NEW YORK",0,Other,"2023-11-03 02:50:37",40.74064,-74.01241
Liberia,"STOLT INVENTION","PORT AU PRINCE",-,HTPAP,,9102100,Tanker,"2023-11-03 02:51:25",40.50682,-74.25846
USA,"TIMOTHY L. REINAUER",,-,US^0Y3P>0Q66,"NEW YORK",7902049,Tug,"2023-11-03 02:49:37",40.54273,-74.25306
USA,"THOMAS D WITTE","NEW YORK",-,"PORT NEWARK","NEW YORK",8841905,Tug,"2023-11-03 02:49:45",40.70006,-74.15252
Denmark,"TORM ADVENTURER","NEW YORK","2023-10-30 19:00:00",USNYC,"AMBROSE ANCH",9326914,Tanker,"2023-11-03 02:50:35",40.50799,-73.65498
Liberia,GHIBLI,"NEW YORK","2023-10-30 12:00:00",VILIB>USNYC,"AMBROSE ANCH",9417799,Tanker,"2023-11-03 02:51:15",40.49966,-73.50924
USA,"EMILY ANN","NEW YORK",-,"NEWARK NJ","NEW YORK",6515667,Tug,"2023-11-02 13:40:23",40.70112,-73.97621
USA,PATUXENT,"NEW YORK","2023-11-03 02:00:00","NEW YORK, NY","NEW YORK",9544229,Tug,"2023-11-03 02:50:53",40.66012,-74.03703
USA,"KATHERINE WALKER",,-,"MILITARY OPS",,9155597,"Special Craft","2023-11-03 02:44:44",41.27372,-73.96569
USA,"FDNY F B BRAVEST",,"1900-01-01 00:00:00","NY HARBOR","NEW YORK",0,"Search and Rescue","2023-08-21 12:25:13",40.70498,-73.97298
USA,"SARAH ANN","HUNTS POINT","2023-10-21 03:15:00","BRONX RIVER","NEW YORK",8983117,Tug,"2023-11-03 02:48:29",40.68442,-74.07355
USA,"THE BEATRICE",,"1900-01-01 00:00:00","XX XXX>US^0RV2","NEW YORK",8117964,Tug,"2023-11-03 02:50:05",40.64538,-74.12137
USA,"BARNEY TURECAMO","NEW YORK","2023-09-21 15:00:00","US NYC","NEW YORK",9132105,Tug,"2023-11-03 02:50:47",40.64925,-74.04182
USA,SCHUYLKILL,"NEW YORK","1900-01-01 00:00:00",NYC,"NEW YORK",0,Tug,"2023-11-01 01:16:05",40.66818,-74.00146
USA,SEELEY,GREENVILLE,"2023-06-28 06:32:00","GREENVILLE YARD","NEW YORK",8987113,Tug,"2023-11-03 02:51:50",40.68725,-74.03244
USA,"FELLS POINT",,"1900-01-01 00:00:00",US^0RQZ>0Y52,"NEW YORK",9704427,Tug,"2023-11-03 02:52:12",40.68755,-74.15647
